clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11715.91,2457.50,ns
clock_gettime,16,20000,10883.59,2333.00,ns
clock_gettime,64,20000,11306.46,3436.50,ns
clock_gettime,256,20000,11610.51,2062.00,ns
clock_gettime,1024,20000,11493.49,2166.00,ns
clock_gettime,4096,20000,11532.45,3770.00,ns
clock_gettime,16384,5000,13189.19,6435.50,ns
clock_gettime,65536,5000,16828.84,8789.50,ns
clock_gettime,262144,500,66502.69,55818.00,ns
clock_gettime,524288,500,124075.78,108512.00,ns
gettimeofday,4,20000,11.30,2.00,us
gettimeofday,16,20000,11.37,2.50,us
gettimeofday,64,20000,11.38,2.00,us
gettimeofday,256,20000,11.33,2.00,us
gettimeofday,1024,20000,11.33,2.00,us
gettimeofday,4096,20000,11.56,2.50,us
gettimeofday,16384,5000,12.85,6.50,us
gettimeofday,65536,5000,16.19,10.00,us
gettimeofday,262144,500,62.07,55.50,us
gettimeofday,524288,500,129.64,111.50,us
