clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11646.29,4331.50,ns
clock_gettime,16,20000,11070.38,2499.00,ns
clock_gettime,64,20000,11545.50,2519.50,ns
clock_gettime,256,20000,11368.05,4518.50,ns
clock_gettime,1024,20000,11074.50,2186.50,ns
clock_gettime,4096,20000,11649.22,3581.50,ns
clock_gettime,16384,5000,13657.92,6518.00,ns
clock_gettime,65536,5000,16488.68,9038.00,ns
clock_gettime,262144,500,67482.48,38108.00,ns
clock_gettime,524288,500,133977.35,114033.00,ns
gettimeofday,4,20000,12.78,4.00,us
gettimeofday,16,20000,13.00,2.00,us
gettimeofday,64,20000,11.46,3.00,us
gettimeofday,256,20000,11.41,3.50,us
gettimeofday,1024,20000,11.70,2.50,us
gettimeofday,4096,20000,11.25,2.50,us
gettimeofday,16384,5000,12.59,6.00,us
gettimeofday,65536,5000,15.90,8.50,us
gettimeofday,262144,500,60.72,35.00,us
gettimeofday,524288,500,124.14,111.00,us
