chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,11.88,12.13,321.28
16,200000,3200000,5,46.68,47.50,326.95
64,200000,12800000,5,191.04,192.75,319.51
256,200000,51200000,5,718.01,723.88,340.04
1024,65536,67108864,5,2487.51,2506.69,392.60
4096,16384,67108864,5,5958.27,6050.34,655.94
8192,8192,67108864,5,7659.15,7824.26,1020.15
16384,4096,67108864,5,8962.98,9107.98,1743.53
32768,2048,67108864,5,9338.01,9429.14,3346.85
49152,1365,67092480,5,9298.15,9560.47,5043.14
65536,1024,67108864,5,9413.89,9599.50,6640.13
81920,819,67092480,5,9525.72,9613.38,8201.80
131072,512,67108864,5,9018.26,9095.41,13861.26
262144,256,67108864,5,9009.54,9154.17,27753.74
524288,128,67108864,5,8988.48,9131.37,55634.05
