clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11282.45,4395.00,ns
clock_gettime,16,20000,11375.58,3478.50,ns
clock_gettime,64,20000,11361.38,2062.00,ns
clock_gettime,256,20000,11296.84,3436.50,ns
clock_gettime,1024,20000,11363.34,2145.00,ns
clock_gettime,4096,20000,11519.30,2395.00,ns
clock_gettime,16384,5000,12989.09,6581.50,ns
clock_gettime,65536,5000,16215.61,9185.00,ns
clock_gettime,262144,500,65234.91,55798.00,ns
clock_gettime,524288,500,128393.79,106305.50,ns
gettimeofday,4,20000,11.37,2.00,us
gettimeofday,16,20000,11.33,2.00,us
gettimeofday,64,20000,11.44,4.50,us
gettimeofday,256,20000,10.93,3.50,us
gettimeofday,1024,20000,11.42,2.50,us
gettimeofday,4096,20000,11.49,2.00,us
gettimeofday,16384,5000,12.93,6.50,us
gettimeofday,65536,5000,16.05,10.50,us
gettimeofday,262144,500,61.55,54.50,us
gettimeofday,524288,500,123.31,110.50,us
