clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,810.55,729.00,ns
clock_gettime,16,20000,811.71,749.50,ns
clock_gettime,64,20000,799.61,728.50,ns
clock_gettime,256,20000,816.18,728.50,ns
clock_gettime,1024,20000,831.59,749.50,ns
clock_gettime,4096,20000,877.44,812.00,ns
clock_gettime,16384,5000,1389.57,1291.00,ns
clock_gettime,65536,5000,3513.95,3290.50,ns
clock_gettime,262144,500,14033.88,13329.00,ns
clock_gettime,524288,500,27173.03,26491.00,ns
gettimeofday,4,20000,0.79,0.50,us
gettimeofday,16,20000,0.78,0.50,us
gettimeofday,64,20000,0.79,0.50,us
gettimeofday,256,20000,0.79,0.50,us
gettimeofday,1024,20000,0.81,0.50,us
gettimeofday,4096,20000,0.87,0.50,us
gettimeofday,16384,5000,1.37,1.00,us
gettimeofday,65536,5000,3.43,3.00,us
gettimeofday,262144,500,13.17,12.50,us
gettimeofday,524288,500,25.86,24.50,us
