clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11570.62,2040.50,ns
clock_gettime,16,20000,12878.48,2311.50,ns
clock_gettime,64,20000,10197.05,2311.50,ns
clock_gettime,256,20000,11230.27,3415.00,ns
clock_gettime,1024,20000,11281.74,4393.50,ns
clock_gettime,4096,20000,11175.23,3394.00,ns
clock_gettime,16384,5000,15248.49,6559.50,ns
clock_gettime,65536,5000,16028.57,7829.50,ns
clock_gettime,262144,500,67055.65,45062.00,ns
clock_gettime,524288,500,124706.89,71924.50,ns
gettimeofday,4,20000,11.29,2.00,us
gettimeofday,16,20000,11.33,2.50,us
gettimeofday,64,20000,12.72,2.50,us
gettimeofday,256,20000,11.08,2.50,us
gettimeofday,1024,20000,10.64,2.00,us
gettimeofday,4096,20000,11.32,2.00,us
gettimeofday,16384,5000,12.81,6.50,us
gettimeofday,65536,5000,16.92,9.50,us
gettimeofday,262144,500,64.10,57.50,us
gettimeofday,524288,500,117.78,71.00,us
