chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,13.68,15.45,280.98
16,200000,3200000,5,70.22,79.88,221.25
64,200000,12800000,5,265.34,292.56,231.83
256,200000,51200000,5,820.99,916.30,300.04
1024,65536,67108864,5,3792.54,4235.72,263.20
4096,16384,67108864,5,5034.29,5209.70,776.34
8192,8192,67108864,5,4903.80,5540.25,1615.88
16384,4096,67108864,5,4719.68,4882.36,3314.04
32768,2048,67108864,5,2915.56,3267.17,10762.07
49152,1365,67092480,5,3115.01,4213.96,15740.85
65536,1024,67108864,5,2056.63,2334.94,30607.23
81920,819,67092480,5,1884.67,1902.04,41454.35
131072,512,67108864,5,1988.82,2014.02,62864.02
262144,256,67108864,5,2003.80,2027.36,124786.18
524288,128,67108864,5,2101.11,2390.99,239000.74
