clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11530.84,2437.00,ns
clock_gettime,16,20000,11582.38,2749.50,ns
clock_gettime,64,20000,11623.37,2166.00,ns
clock_gettime,256,20000,10517.43,2145.00,ns
clock_gettime,1024,20000,11101.02,3978.00,ns
clock_gettime,4096,20000,10471.24,2853.50,ns
clock_gettime,16384,5000,13311.57,3999.00,ns
clock_gettime,65536,5000,17723.43,8101.50,ns
clock_gettime,262144,500,68337.60,57733.00,ns
clock_gettime,524288,500,135168.72,109426.50,ns
gettimeofday,4,20000,11.52,2.50,us
gettimeofday,16,20000,11.08,2.50,us
gettimeofday,64,20000,11.23,3.50,us
gettimeofday,256,20000,10.70,3.00,us
gettimeofday,1024,20000,11.37,2.50,us
gettimeofday,4096,20000,11.75,2.50,us
gettimeofday,16384,5000,13.63,5.50,us
gettimeofday,65536,5000,16.99,10.00,us
gettimeofday,262144,500,93.96,40.50,us
gettimeofday,524288,500,134.52,111.50,us
