chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,14.34,17.36,269.69
16,200000,3200000,5,58.49,64.69,263.08
64,200000,12800000,5,207.06,239.03,298.30
256,200000,51200000,5,807.21,969.25,306.46
1024,65536,67108864,5,3124.34,3944.76,319.88
4096,16384,67108864,5,4235.43,4915.96,936.98
8192,8192,67108864,5,3996.52,4452.96,1974.94
16384,4096,67108864,5,3802.55,4427.46,4191.93
32768,2048,67108864,5,3265.02,4079.55,9744.46
49152,1365,67092480,5,2943.45,3234.00,16086.69
65536,1024,67108864,5,2395.54,2798.27,26411.25
81920,819,67092480,5,1788.02,1817.21,43701.75
131072,512,67108864,5,1980.39,2159.41,63500.12
262144,256,67108864,5,1905.35,2164.61,131877.13
524288,128,67108864,5,1905.90,2150.41,263423.16
