clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11958.79,2124.00,ns
clock_gettime,16,20000,11834.32,4602.50,ns
clock_gettime,64,20000,12216.06,3498.50,ns
clock_gettime,256,20000,10541.11,2207.50,ns
clock_gettime,1024,20000,8454.08,3998.50,ns
clock_gettime,4096,20000,11411.05,2415.50,ns
clock_gettime,16384,5000,12897.71,5602.00,ns
clock_gettime,65536,5000,17239.41,9038.00,ns
clock_gettime,262144,500,66294.34,36735.00,ns
clock_gettime,524288,500,340501.96,73532.00,ns
gettimeofday,4,20000,12.69,2.00,us
gettimeofday,16,20000,12.33,2.00,us
gettimeofday,64,20000,14.86,2.50,us
gettimeofday,256,20000,10.33,2.00,us
gettimeofday,1024,20000,11.26,3.00,us
gettimeofday,4096,20000,11.57,4.50,us
gettimeofday,16384,5000,28.73,6.50,us
gettimeofday,65536,5000,18.91,11.00,us
gettimeofday,262144,500,69.64,57.00,us
gettimeofday,524288,500,156.97,114.50,us
