chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,11.45,14.82,343.84
16,200000,3200000,5,54.68,66.28,283.41
64,200000,12800000,5,203.07,226.87,302.64
256,200000,51200000,5,802.54,836.48,304.48
1024,65536,67108864,5,2845.28,3795.59,362.06
4096,16384,67108864,5,3432.21,4791.38,1197.18
8192,8192,67108864,5,4308.76,4926.06,1823.58
16384,4096,67108864,5,4559.64,5003.88,3440.12
32768,2048,67108864,5,2814.61,2941.46,11135.77
49152,1365,67092480,5,2717.06,2887.60,17283.59
65536,1024,67108864,5,2085.22,2270.12,30112.75
81920,819,67092480,5,1845.92,1909.75,42339.21
131072,512,67108864,5,1859.83,1878.98,67218.10
262144,256,67108864,5,1857.48,1879.44,134610.31
524288,128,67108864,5,1880.49,1906.55,265919.70
