chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,18.22,19.01,210.26
16,200000,3200000,5,69.55,74.95,222.46
64,200000,12800000,5,257.48,279.16,238.18
256,200000,51200000,5,1055.10,1099.14,232.82
1024,65536,67108864,5,3887.14,4051.48,251.46
4096,16384,67108864,5,5115.08,5306.60,764.55
8192,8192,67108864,5,5453.44,6571.15,1468.20
16384,4096,67108864,5,5528.20,5986.50,2835.86
32768,2048,67108864,5,3784.48,4381.08,8395.41
49152,1365,67092480,5,5584.46,6097.13,8451.03
65536,1024,67108864,5,2256.66,2433.01,27780.18
81920,819,67092480,5,2019.24,2043.25,38692.40
131072,512,67108864,5,1979.50,2062.46,63244.34
262144,256,67108864,5,1978.93,2050.10,126552.75
524288,128,67108864,5,2008.59,2056.69,249054.11
