clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11601.91,2249.50,ns
clock_gettime,16,20000,11763.11,2145.00,ns
clock_gettime,64,20000,11535.59,2645.00,ns
clock_gettime,256,20000,11497.15,2749.00,ns
clock_gettime,1024,20000,11717.00,2145.00,ns
clock_gettime,4096,20000,11847.00,2853.00,ns
clock_gettime,16384,5000,14019.24,6810.00,ns
clock_gettime,65536,5000,17878.45,11121.50,ns
clock_gettime,262144,500,68739.22,55648.50,ns
clock_gettime,524288,500,133227.13,114358.50,ns
gettimeofday,4,20000,11.88,2.00,us
gettimeofday,16,20000,11.93,3.00,us
gettimeofday,64,20000,11.94,3.00,us
gettimeofday,256,20000,12.00,2.00,us
gettimeofday,1024,20000,12.10,2.00,us
gettimeofday,4096,20000,12.03,2.50,us
gettimeofday,16384,5000,14.30,6.50,us
gettimeofday,65536,5000,18.74,11.00,us
gettimeofday,262144,500,72.07,51.00,us
gettimeofday,524288,500,139.82,114.00,us
