chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,16.91,19.12,228.25
16,200000,3200000,5,72.61,78.91,212.65
64,200000,12800000,5,275.61,282.50,221.62
256,200000,51200000,5,1044.94,1112.39,234.60
1024,65536,67108864,5,4022.56,4303.97,243.92
4096,16384,67108864,5,5088.48,5525.98,771.61
8192,8192,67108864,5,5474.71,5864.36,1441.15
16384,4096,67108864,5,3827.24,4413.05,4117.32
32768,2048,67108864,5,3338.20,4042.12,9454.87
49152,1365,67092480,5,2899.65,3517.07,16357.03
65536,1024,67108864,5,2137.89,2412.60,29399.66
81920,819,67092480,5,1941.74,2004.43,40248.33
131072,512,67108864,5,1921.51,1998.56,65129.91
262144,256,67108864,5,1913.15,1976.29,130812.50
524288,128,67108864,5,1949.19,2014.88,256886.35
