chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,13.87,15.31,275.83
16,200000,3200000,5,65.44,75.88,238.13
64,200000,12800000,5,244.79,286.87,254.14
256,200000,51200000,5,930.69,1095.26,266.44
1024,65536,67108864,5,3581.35,4177.47,280.24
4096,16384,67108864,5,4604.82,4918.72,856.41
8192,8192,67108864,5,5805.16,6165.88,1351.40
16384,4096,67108864,5,4288.21,5162.10,3697.23
32768,2048,67108864,5,3080.14,3727.70,10341.62
49152,1365,67092480,5,3251.20,4005.75,14736.22
65536,1024,67108864,5,2203.66,2593.87,28577.91
81920,819,67092480,5,1931.95,1967.78,40446.53
131072,512,67108864,5,1932.84,1951.82,64674.83
262144,256,67108864,5,1940.25,1976.08,128861.70
524288,128,67108864,5,1951.14,2002.77,256394.60
