chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,15.18,17.59,254.93
16,200000,3200000,5,64.96,68.83,235.48
64,200000,12800000,5,233.76,274.17,263.52
256,200000,51200000,5,1034.15,1074.17,236.26
1024,65536,67108864,5,3744.54,3875.15,260.95
4096,16384,67108864,5,4900.25,5306.65,798.98
8192,8192,67108864,5,5047.73,5609.24,1565.00
16384,4096,67108864,5,4027.74,4769.30,3911.73
32768,2048,67108864,5,4706.22,5595.67,6871.84
49152,1365,67092480,5,3222.63,3697.09,14668.82
65536,1024,67108864,5,2050.55,2137.83,30522.93
81920,819,67092480,5,1867.80,1974.33,41879.17
131072,512,67108864,5,1816.14,1849.18,68847.83
262144,256,67108864,5,1749.72,1872.79,145549.83
524288,128,67108864,5,1907.00,1954.83,262306.14
