clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,823.58,749.50,ns
clock_gettime,16,20000,834.68,770.50,ns
clock_gettime,64,20000,828.07,770.50,ns
clock_gettime,256,20000,830.46,750.00,ns
clock_gettime,1024,20000,842.82,770.50,ns
clock_gettime,4096,20000,914.30,833.00,ns
clock_gettime,16384,5000,1413.80,1312.00,ns
clock_gettime,65536,5000,3576.94,3332.00,ns
clock_gettime,262144,500,13991.84,13370.00,ns
clock_gettime,524288,500,28069.43,26324.50,ns
gettimeofday,4,20000,0.83,0.50,us
gettimeofday,16,20000,0.82,0.50,us
gettimeofday,64,20000,0.83,0.50,us
gettimeofday,256,20000,0.82,0.50,us
gettimeofday,1024,20000,0.85,0.50,us
gettimeofday,4096,20000,0.92,0.50,us
gettimeofday,16384,5000,1.41,1.00,us
gettimeofday,65536,5000,3.59,3.00,us
gettimeofday,262144,500,13.90,12.50,us
gettimeofday,524288,500,26.67,24.50,us
