chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,11.75,11.86,324.65
16,200000,3200000,5,47.10,47.77,324.00
64,200000,12800000,5,189.52,190.69,322.07
256,200000,51200000,5,729.68,733.81,334.59
1024,65536,67108864,5,2434.72,2457.55,401.13
4096,16384,67108864,5,5958.00,6093.82,655.88
8192,8192,67108864,5,7656.14,7724.46,1020.49
16384,4096,67108864,5,8309.30,9014.27,1888.88
32768,2048,67108864,5,8656.33,8959.71,3614.16
49152,1365,67092480,5,8891.31,9208.39,5276.00
65536,1024,67108864,5,9036.21,9382.40,6928.80
81920,819,67092480,5,8925.43,9554.37,8773.91
131072,512,67108864,5,8696.81,8909.37,14376.18
262144,256,67108864,5,8977.10,9087.79,27853.37
524288,128,67108864,5,8863.95,9341.37,56488.94
