clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,807.83,728.50,ns
clock_gettime,16,20000,813.10,729.00,ns
clock_gettime,64,20000,817.27,749.50,ns
clock_gettime,256,20000,811.72,729.00,ns
clock_gettime,1024,20000,835.41,749.50,ns
clock_gettime,4096,20000,886.57,812.00,ns
clock_gettime,16384,5000,1363.58,1291.00,ns
clock_gettime,65536,5000,3587.75,3332.00,ns
clock_gettime,262144,500,14088.06,13266.00,ns
clock_gettime,524288,500,27978.17,26428.00,ns
gettimeofday,4,20000,0.81,0.50,us
gettimeofday,16,20000,0.81,0.50,us
gettimeofday,64,20000,0.81,0.50,us
gettimeofday,256,20000,0.80,0.50,us
gettimeofday,1024,20000,0.82,0.50,us
gettimeofday,4096,20000,0.88,0.50,us
gettimeofday,16384,5000,1.37,1.00,us
gettimeofday,65536,5000,3.52,3.00,us
gettimeofday,262144,500,13.35,12.50,us
gettimeofday,524288,500,26.62,24.50,us
