chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,12.73,15.30,304.51
16,200000,3200000,5,56.34,64.15,274.67
64,200000,12800000,5,243.86,265.32,252.34
256,200000,51200000,5,927.15,1074.14,267.71
1024,65536,67108864,5,3826.17,4092.02,257.00
4096,16384,67108864,5,5174.38,5307.84,755.06
8192,8192,67108864,5,4868.43,5476.36,1632.78
16384,4096,67108864,5,4852.72,5505.45,3259.92
32768,2048,67108864,5,2784.55,3266.96,11361.02
49152,1365,67092480,5,2931.29,3503.21,16229.77
65536,1024,67108864,5,2125.16,2364.99,29588.50
81920,819,67092480,5,1937.90,1955.86,40315.88
131072,512,67108864,5,1920.82,1967.77,65096.58
262144,256,67108864,5,1929.43,1967.87,129599.89
524288,128,67108864,5,1959.41,2000.72,255216.74
