chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,12.04,12.44,317.13
16,200000,3200000,5,47.77,48.49,319.48
64,200000,12800000,5,194.24,195.35,314.23
256,200000,51200000,5,749.93,751.50,325.55
1024,65536,67108864,5,2491.68,2511.47,391.94
4096,16384,67108864,5,6179.07,6348.34,632.49
8192,8192,67108864,5,7913.30,8008.45,987.36
16384,4096,67108864,5,9236.65,9298.09,1691.72
32768,2048,67108864,5,9519.62,9605.87,3282.91
49152,1365,67092480,5,9374.82,9483.84,5000.48
65536,1024,67108864,5,9463.55,9560.61,6605.19
81920,819,67092480,5,9488.97,9572.28,8233.72
131072,512,67108864,5,8922.72,9014.91,14010.07
262144,256,67108864,5,9143.33,9301.07,27346.01
524288,128,67108864,5,9354.69,9424.92,53450.22
