chunk_bytes,writes_per_run,total_bytes,trials,mean_MiB_per_s,max_MiB_per_s,mean_ns_per_write
4,200000,800000,5,11.71,11.89,325.66
16,200000,3200000,5,47.04,47.80,324.44
64,200000,12800000,5,189.89,191.06,321.43
256,200000,51200000,5,732.60,735.00,333.26
1024,65536,67108864,5,2412.49,2427.76,404.81
4096,16384,67108864,5,6001.84,6178.50,651.09
8192,8192,67108864,5,7607.27,7726.74,1027.26
16384,4096,67108864,5,8830.30,9048.52,1770.01
32768,2048,67108864,5,8854.78,9134.96,3531.45
49152,1365,67092480,5,7556.90,8914.75,6333.75
65536,1024,67108864,5,9143.36,9279.05,6836.70
81920,819,67092480,5,9161.85,9274.16,8528.66
131072,512,67108864,5,8614.60,8863.89,14516.31
262144,256,67108864,5,8832.85,8955.07,28307.11
524288,128,67108864,5,9001.76,9410.50,55592.39
