clock,payload_bytes,reps,mean,min,unit
clock_gettime,4,20000,11789.73,3186.50,ns
clock_gettime,16,20000,10978.82,4040.00,ns
clock_gettime,64,20000,11392.36,4082.00,ns
clock_gettime,256,20000,11333.60,2165.50,ns
clock_gettime,1024,20000,11858.00,3519.50,ns
clock_gettime,4096,20000,11674.22,2374.00,ns
clock_gettime,16384,5000,13733.61,4498.50,ns
clock_gettime,65536,5000,18241.64,10870.50,ns
clock_gettime,262144,500,69649.13,58790.00,ns
clock_gettime,524288,500,137490.86,116913.50,ns
gettimeofday,4,20000,11.43,2.00,us
gettimeofday,16,20000,11.25,3.50,us
gettimeofday,64,20000,11.40,2.00,us
gettimeofday,256,20000,11.35,2.00,us
gettimeofday,1024,20000,11.57,2.50,us
gettimeofday,4096,20000,11.47,4.50,us
gettimeofday,16384,5000,13.68,6.50,us
gettimeofday,65536,5000,17.53,10.00,us
gettimeofday,262144,500,74.60,60.00,us
gettimeofday,524288,500,143.66,115.00,us
