Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          16.88          19.08           235.24
        16     200000         3.05          54.11          58.57           283.16
        64     200000        12.21         231.57         263.80           264.89
       256     200000        48.83         833.92         970.99           297.24
      1024      65536        64.00        3649.19        4020.67           275.76
      4096      16384        64.00        5020.97        5134.15           778.38
      8192       8192        64.00        5336.70        5943.46          1472.28
     16384       4096        64.00        4041.79        4247.51          3880.86
     32768       2048        64.00        3779.51        4115.26          8359.56
     49152       1365        63.98        3393.32        3667.06         13922.20
     65536       1024        64.00        2048.06        2338.90         30666.61
     81920        819        63.98        1988.88        2012.67         39283.81
    131072        512        64.00        1982.97        2003.97         63046.59
    262144        256        64.00        2028.95        2042.63        123219.83
    524288        128        64.00        2081.91        2086.61        240164.51

Wrote pipe_throughput_cross-r5.csv
