Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          11.88          12.13           321.28
        16     200000         3.05          46.68          47.50           326.95
        64     200000        12.21         191.04         192.75           319.51
       256     200000        48.83         718.01         723.88           340.04
      1024      65536        64.00        2487.51        2506.69           392.60
      4096      16384        64.00        5958.27        6050.34           655.94
      8192       8192        64.00        7659.15        7824.26          1020.15
     16384       4096        64.00        8962.98        9107.98          1743.53
     32768       2048        64.00        9338.01        9429.14          3346.85
     49152       1365        63.98        9298.15        9560.47          5043.14
     65536       1024        64.00        9413.89        9599.50          6640.13
     81920        819        63.98        9525.72        9613.38          8201.80
    131072        512        64.00        9018.26        9095.41         13861.26
    262144        256        64.00        9009.54        9154.17         27753.74
    524288        128        64.00        8988.48        9131.37         55634.05

Wrote pipe_throughput_same-r2.csv
