Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          13.19          15.73           297.16
        16     200000         3.05          64.21          72.52           243.42
        64     200000        12.21         239.49         272.68           258.58
       256     200000        48.83         878.12        1000.57           280.80
      1024      65536        64.00        2877.91        3987.13           354.51
      4096      16384        64.00        4904.49        5280.59           801.98
      8192       8192        64.00        4535.82        4892.68          1729.74
     16384       4096        64.00        4902.76        5072.85          3192.39
     32768       2048        64.00        3414.52        3830.12          9324.19
     49152       1365        63.98        3351.85        3924.73         14202.27
     65536       1024        64.00        2058.18        2217.22         30519.01
     81920        819        63.98        1885.74        1931.91         41455.75
    131072        512        64.00        1946.47        2074.76         64306.65
    262144        256        64.00        1926.68        1982.45        129801.85
    524288        128        64.00        1924.91        2100.37        260816.12

Wrote pipe_throughput_unpinned-r2.csv
