Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4         814.74         749.50
clock_gettime         16         823.15         750.00
clock_gettime         64         810.49         749.50
clock_gettime        256         810.19         729.00
clock_gettime       1024         816.03         749.50
clock_gettime       4096         888.54         812.00
clock_gettime      16384        1418.95        1312.00
clock_gettime      65536        3527.44        3311.00
clock_gettime     262144       14555.50       13495.00
clock_gettime     524288       28277.00       27052.50

clock           payload      mean (us)       min (us)
gettimeofday          4           0.81           0.50
gettimeofday         16           0.81           0.50
gettimeofday         64           0.81           0.50
gettimeofday        256           0.81           0.50
gettimeofday       1024           0.82           0.50
gettimeofday       4096           0.87           0.50
gettimeofday      16384           1.42           1.00
gettimeofday      65536           3.52           3.00
gettimeofday     262144          13.74          13.00
gettimeofday     524288          26.73          26.00

Wrote pipe_latency_same-r1.csv
