Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          11.71          11.89           325.66
        16     200000         3.05          47.04          47.80           324.44
        64     200000        12.21         189.89         191.06           321.43
       256     200000        48.83         732.60         735.00           333.26
      1024      65536        64.00        2412.49        2427.76           404.81
      4096      16384        64.00        6001.84        6178.50           651.09
      8192       8192        64.00        7607.27        7726.74          1027.26
     16384       4096        64.00        8830.30        9048.52          1770.01
     32768       2048        64.00        8854.78        9134.96          3531.45
     49152       1365        63.98        7556.90        8914.75          6333.75
     65536       1024        64.00        9143.36        9279.05          6836.70
     81920        819        63.98        9161.85        9274.16          8528.66
    131072        512        64.00        8614.60        8863.89         14516.31
    262144        256        64.00        8832.85        8955.07         28307.11
    524288        128        64.00        9001.76        9410.50         55592.39

Wrote pipe_throughput_same-r1.csv
