Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4       11530.84        2437.00
clock_gettime         16       11582.38        2749.50
clock_gettime         64       11623.37        2166.00
clock_gettime        256       10517.43        2145.00
clock_gettime       1024       11101.02        3978.00
clock_gettime       4096       10471.24        2853.50
clock_gettime      16384       13311.57        3999.00
clock_gettime      65536       17723.43        8101.50
clock_gettime     262144       68337.60       57733.00
clock_gettime     524288      135168.72      109426.50

clock           payload      mean (us)       min (us)
gettimeofday          4          11.52           2.50
gettimeofday         16          11.08           2.50
gettimeofday         64          11.23           3.50
gettimeofday        256          10.70           3.00
gettimeofday       1024          11.37           2.50
gettimeofday       4096          11.75           2.50
gettimeofday      16384          13.63           5.50
gettimeofday      65536          16.99          10.00
gettimeofday     262144          93.96          40.50
gettimeofday     524288         134.52         111.50

Wrote pipe_latency_cross-r3.csv
