Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          14.34          17.36           269.69
        16     200000         3.05          58.49          64.69           263.08
        64     200000        12.21         207.06         239.03           298.30
       256     200000        48.83         807.21         969.25           306.46
      1024      65536        64.00        3124.34        3944.76           319.88
      4096      16384        64.00        4235.43        4915.96           936.98
      8192       8192        64.00        3996.52        4452.96          1974.94
     16384       4096        64.00        3802.55        4427.46          4191.93
     32768       2048        64.00        3265.02        4079.55          9744.46
     49152       1365        63.98        2943.45        3234.00         16086.69
     65536       1024        64.00        2395.54        2798.27         26411.25
     81920        819        63.98        1788.02        1817.21         43701.75
    131072        512        64.00        1980.39        2159.41         63500.12
    262144        256        64.00        1905.35        2164.61        131877.13
    524288        128        64.00        1905.90        2150.41        263423.16

Wrote pipe_throughput_unpinned-r1.csv
