Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          13.68          15.45           280.98
        16     200000         3.05          70.22          79.88           221.25
        64     200000        12.21         265.34         292.56           231.83
       256     200000        48.83         820.99         916.30           300.04
      1024      65536        64.00        3792.54        4235.72           263.20
      4096      16384        64.00        5034.29        5209.70           776.34
      8192       8192        64.00        4903.80        5540.25          1615.88
     16384       4096        64.00        4719.68        4882.36          3314.04
     32768       2048        64.00        2915.56        3267.17         10762.07
     49152       1365        63.98        3115.01        4213.96         15740.85
     65536       1024        64.00        2056.63        2334.94         30607.23
     81920        819        63.98        1884.67        1902.04         41454.35
    131072        512        64.00        1988.82        2014.02         62864.02
    262144        256        64.00        2003.80        2027.36        124786.18
    524288        128        64.00        2101.11        2390.99        239000.74

Wrote pipe_throughput_cross-r1.csv
