Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4         810.55         729.00
clock_gettime         16         811.71         749.50
clock_gettime         64         799.61         728.50
clock_gettime        256         816.18         728.50
clock_gettime       1024         831.59         749.50
clock_gettime       4096         877.44         812.00
clock_gettime      16384        1389.57        1291.00
clock_gettime      65536        3513.95        3290.50
clock_gettime     262144       14033.88       13329.00
clock_gettime     524288       27173.03       26491.00

clock           payload      mean (us)       min (us)
gettimeofday          4           0.79           0.50
gettimeofday         16           0.78           0.50
gettimeofday         64           0.79           0.50
gettimeofday        256           0.79           0.50
gettimeofday       1024           0.81           0.50
gettimeofday       4096           0.87           0.50
gettimeofday      16384           1.37           1.00
gettimeofday      65536           3.43           3.00
gettimeofday     262144          13.17          12.50
gettimeofday     524288          25.86          24.50

Wrote pipe_latency_same-r5.csv
