Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          18.22          18.99           210.51
        16     200000         3.05          53.69          66.38           290.04
        64     200000        12.21         235.96         261.46           259.39
       256     200000        48.83         877.88        1074.19           287.15
      1024      65536        64.00        3927.61        4047.77           248.87
      4096      16384        64.00        4988.26        5567.42           786.11
      8192       8192        64.00        5015.23        5689.47          1576.29
     16384       4096        64.00        4243.12        4717.07          3710.67
     32768       2048        64.00        3106.73        3632.94         10163.20
     49152       1365        63.98        3402.62        4065.14         14031.07
     65536       1024        64.00        2259.40        2712.18         28091.03
     81920        819        63.98        1956.48        2000.24         39942.44
    131072        512        64.00        1965.87        2004.13         63596.90
    262144        256        64.00        1932.48        1976.20        129420.34
    524288        128        64.00        1981.79        1998.40        252308.82

Wrote pipe_throughput_cross-r4.csv
