Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          18.22          19.01           210.26
        16     200000         3.05          69.55          74.95           222.46
        64     200000        12.21         257.48         279.16           238.18
       256     200000        48.83        1055.10        1099.14           232.82
      1024      65536        64.00        3887.14        4051.48           251.46
      4096      16384        64.00        5115.08        5306.60           764.55
      8192       8192        64.00        5453.44        6571.15          1468.20
     16384       4096        64.00        5528.20        5986.50          2835.86
     32768       2048        64.00        3784.48        4381.08          8395.41
     49152       1365        63.98        5584.46        6097.13          8451.03
     65536       1024        64.00        2256.66        2433.01         27780.18
     81920        819        63.98        2019.24        2043.25         38692.40
    131072        512        64.00        1979.50        2062.46         63244.34
    262144        256        64.00        1978.93        2050.10        126552.75
    524288        128        64.00        2008.59        2056.69        249054.11

Wrote pipe_throughput_cross-r5.csv
