Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4         820.85         750.00
clock_gettime         16         819.84         750.00
clock_gettime         64         810.61         750.00
clock_gettime        256         805.08         750.00
clock_gettime       1024         816.93         770.50
clock_gettime       4096         874.30         833.00
clock_gettime      16384        1359.31        1291.50
clock_gettime      65536        3481.31        3333.00
clock_gettime     262144       13769.28       13354.00
clock_gettime     524288       27264.76       26292.00

Wrote pipe_latency_same-r3.csv
