Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          12.38          12.53           308.12
        16     200000         3.05          48.93          49.15           311.89
        64     200000        12.21         195.62         195.94           312.01
       256     200000        48.83         746.47         750.58           327.07
      1024      65536        64.00        2506.58        2510.30           389.60
      4096      16384        64.00        6204.35        6366.48           629.79
      8192       8192        64.00        7920.17        8014.34           986.47
     16384       4096        64.00        9243.24        9285.67          1690.51
     32768       2048        64.00        9591.35        9618.81          3258.17
     49152       1365        63.98        9376.05        9534.84          5001.61
     65536       1024        64.00        9518.71        9612.19          6566.54
     81920        819        63.98        9573.77        9601.19          8160.37
    131072        512        64.00        9055.62        9092.08         13803.71
    262144        256        64.00        9214.84        9235.92         27130.24
    524288        128        64.00        9250.55        9300.23         54052.08

Wrote pipe_throughput_same-r4.csv
