Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          11.76          11.90           324.59
        16     200000         3.05          46.77          47.67           326.31
        64     200000        12.21         188.24         188.60           324.24
       256     200000        48.83         723.71         729.20           337.35
      1024      65536        64.00        2400.04        2441.17           406.94
      4096      16384        64.00        6032.45        6112.90           647.59
      8192       8192        64.00        7738.69        7993.55          1009.86
     16384       4096        64.00        8911.99        9063.83          1753.50
     32768       2048        64.00        9411.94        9645.06          3322.04
     49152       1365        63.98        9186.14        9369.40          5103.35
     65536       1024        64.00        9166.57        9233.27          6818.79
     81920        819        63.98        9152.12        9369.52          8538.11
    131072        512        64.00        8874.87        9167.71         14092.30
    262144        256        64.00        8866.59        9105.29         28201.13
    524288        128        64.00        8817.94        8977.56         56710.87

Wrote pipe_throughput_same-r2.csv
