Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          11.75          11.86           324.65
        16     200000         3.05          47.10          47.77           324.00
        64     200000        12.21         189.52         190.69           322.07
       256     200000        48.83         729.68         733.81           334.59
      1024      65536        64.00        2434.72        2457.55           401.13
      4096      16384        64.00        5958.00        6093.82           655.88
      8192       8192        64.00        7656.14        7724.46          1020.49
     16384       4096        64.00        8309.30        9014.27          1888.88
     32768       2048        64.00        8656.33        8959.71          3614.16
     49152       1365        63.98        8891.31        9208.39          5276.00
     65536       1024        64.00        9036.21        9382.40          6928.80
     81920        819        63.98        8925.43        9554.37          8773.91
    131072        512        64.00        8696.81        8909.37         14376.18
    262144        256        64.00        8977.10        9087.79         27853.37
    524288        128        64.00        8863.95        9341.37         56488.94

Wrote pipe_throughput_same-r4.csv
