Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          12.04          12.44           317.13
        16     200000         3.05          47.77          48.49           319.48
        64     200000        12.21         194.24         195.35           314.23
       256     200000        48.83         749.93         751.50           325.55
      1024      65536        64.00        2491.68        2511.47           391.94
      4096      16384        64.00        6179.07        6348.34           632.49
      8192       8192        64.00        7913.30        8008.45           987.36
     16384       4096        64.00        9236.65        9298.09          1691.72
     32768       2048        64.00        9519.62        9605.87          3282.91
     49152       1365        63.98        9374.82        9483.84          5000.48
     65536       1024        64.00        9463.55        9560.61          6605.19
     81920        819        63.98        9488.97        9572.28          8233.72
    131072        512        64.00        8922.72        9014.91         14010.07
    262144        256        64.00        9143.33        9301.07         27346.01
    524288        128        64.00        9354.69        9424.92         53450.22

Wrote pipe_throughput_same-r3.csv
