Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          15.18          17.59           254.93
        16     200000         3.05          64.96          68.83           235.48
        64     200000        12.21         233.76         274.17           263.52
       256     200000        48.83        1034.15        1074.17           236.26
      1024      65536        64.00        3744.54        3875.15           260.95
      4096      16384        64.00        4900.25        5306.65           798.98
      8192       8192        64.00        5047.73        5609.24          1565.00
     16384       4096        64.00        4027.74        4769.30          3911.73
     32768       2048        64.00        4706.22        5595.67          6871.84
     49152       1365        63.98        3222.63        3697.09         14668.82
     65536       1024        64.00        2050.55        2137.83         30522.93
     81920        819        63.98        1867.80        1974.33         41879.17
    131072        512        64.00        1816.14        1849.18         68847.83
    262144        256        64.00        1749.72        1872.79        145549.83
    524288        128        64.00        1907.00        1954.83        262306.14

Wrote pipe_throughput_cross-r3.csv
