Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          11.92          15.55           328.40
        16     200000         3.05          51.82          60.92           299.19
        64     200000        12.21         190.43         201.77           321.90
       256     200000        48.83         838.70         914.27           292.14
      1024      65536        64.00        3099.21        4157.40           336.18
      4096      16384        64.00        4376.64        5086.43           906.52
      8192       8192        64.00        4645.67        4845.39          1684.21
     16384       4096        64.00        4381.93        4602.79          3570.75
     32768       2048        64.00        3193.99        3531.00          9835.86
     49152       1365        63.98        2957.45        3458.07         16063.39
     65536       1024        64.00        2187.12        2436.42         28676.11
     81920        819        63.98        1775.70        1831.41         44019.83
    131072        512        64.00        1815.32        1872.25         68889.26
    262144        256        64.00        1839.88        1860.57        135898.90
    524288        128        64.00        1746.47        1836.03        286631.02

Wrote pipe_throughput_unpinned-r4.csv
