Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          12.50          14.70           309.25
        16     200000         3.05          61.60          73.59           254.32
        64     200000        12.21         186.35         204.75           330.84
       256     200000        48.83         780.03        1028.08           321.43
      1024      65536        64.00        3472.74        3973.15           283.22
      4096      16384        64.00        4108.02        4691.32           964.63
      8192       8192        64.00        4047.51        4501.68          1944.03
     16384       4096        64.00        3842.74        4818.14          4124.96
     32768       2048        64.00        3446.73        4811.38          9360.99
     49152       1365        63.98        3004.41        3752.62         15865.94
     65536       1024        64.00        2471.79        2946.16         26167.39
     81920        819        63.98        2145.65        3488.24         39123.33
    131072        512        64.00        1685.34        1785.02         74245.22
    262144        256        64.00        1797.78        1908.22        139499.96
    524288        128        64.00        1685.09        1740.15        296868.06

Wrote pipe_throughput_unpinned-r2.csv
