Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4       11715.91        2457.50
clock_gettime         16       10883.59        2333.00
clock_gettime         64       11306.46        3436.50
clock_gettime        256       11610.51        2062.00
clock_gettime       1024       11493.49        2166.00
clock_gettime       4096       11532.45        3770.00
clock_gettime      16384       13189.19        6435.50
clock_gettime      65536       16828.84        8789.50
clock_gettime     262144       66502.69       55818.00
clock_gettime     524288      124075.78      108512.00

clock           payload      mean (us)       min (us)
gettimeofday          4          11.30           2.00
gettimeofday         16          11.37           2.50
gettimeofday         64          11.38           2.00
gettimeofday        256          11.33           2.00
gettimeofday       1024          11.33           2.00
gettimeofday       4096          11.56           2.50
gettimeofday      16384          12.85           6.50
gettimeofday      65536          16.19          10.00
gettimeofday     262144          62.07          55.50
gettimeofday     524288         129.64         111.50

Wrote pipe_latency_cross-r4.csv
