Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          12.39          12.46           307.84
        16     200000         3.05          49.05          49.31           311.09
        64     200000        12.21         194.82         195.66           313.29
       256     200000        48.83         748.66         750.51           326.10
      1024      65536        64.00        2485.63        2504.18           392.90
      4096      16384        64.00        6202.42        6285.20           629.84
      8192       8192        64.00        7965.23        8047.52           980.96
     16384       4096        64.00        9246.79        9329.16          1689.84
     32768       2048        64.00        9569.69        9668.46          3265.74
     49152       1365        63.98        9529.43        9608.46          4919.31
     65536       1024        64.00        9621.39        9678.39          6496.14
     81920        819        63.98        9592.54        9633.78          8144.43
    131072        512        64.00        9067.04        9099.25         13786.26
    262144        256        64.00        9257.39        9295.79         27005.68
    524288        128        64.00        9285.85        9333.86         53847.24

Wrote pipe_throughput_same-r5.csv
