Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4         801.96         750.00
clock_gettime         16         807.88         770.50
clock_gettime         64         806.31         770.50
clock_gettime        256         804.03         750.00
clock_gettime       1024         817.18         750.00
clock_gettime       4096         874.83         833.00
clock_gettime      16384        1352.69        1312.50
clock_gettime      65536        3436.36        3333.00
clock_gettime     262144       13649.94       13437.50
clock_gettime     524288       26991.75       26541.50

Wrote pipe_latency_same-r4.csv
