Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4       11601.91        2249.50
clock_gettime         16       11763.11        2145.00
clock_gettime         64       11535.59        2645.00
clock_gettime        256       11497.15        2749.00
clock_gettime       1024       11717.00        2145.00
clock_gettime       4096       11847.00        2853.00
clock_gettime      16384       14019.24        6810.00
clock_gettime      65536       17878.45       11121.50
clock_gettime     262144       68739.22       55648.50
clock_gettime     524288      133227.13      114358.50

clock           payload      mean (us)       min (us)
gettimeofday          4          11.88           2.00
gettimeofday         16          11.93           3.00
gettimeofday         64          11.94           3.00
gettimeofday        256          12.00           2.00
gettimeofday       1024          12.10           2.00
gettimeofday       4096          12.03           2.50
gettimeofday      16384          14.30           6.50
gettimeofday      65536          18.74          11.00
gettimeofday     262144          72.07          51.00
gettimeofday     524288         139.82         114.00

Wrote pipe_latency_cross-r1.csv
