Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          11.88          12.21           321.22
        16     200000         3.05          47.01          47.87           324.62
        64     200000        12.21         190.96         194.32           319.67
       256     200000        48.83         699.62         724.65           349.44
      1024      65536        64.00        2394.17        2446.89           407.97
      4096      16384        64.00        6005.79        6107.91           650.48
      8192       8192        64.00        7608.68        7723.10          1026.86
     16384       4096        64.00        8921.06        9078.36          1751.66
     32768       2048        64.00        9293.51        9503.22          3363.03
     49152       1365        63.98        9297.59        9558.92          5043.81
     65536       1024        64.00        9499.29        9592.78          6580.15
     81920        819        63.98        9461.32        9551.55          8257.65
    131072        512        64.00        8882.68        8946.75         14072.65
    262144        256        64.00        9041.38        9102.25         27651.73
    524288        128        64.00        8742.44        8944.40         57212.80

Wrote pipe_throughput_same-r1.csv
