Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          11.64          11.74           327.88
        16     200000         3.05          46.57          47.01           327.64
        64     200000        12.21         183.70         186.98           332.41
       256     200000        48.83         724.14         726.88           337.15
      1024      65536        64.00        2409.97        2419.10           405.22
      4096      16384        64.00        6008.06        6072.19           650.21
      8192       8192        64.00        7700.58        7744.37          1014.56
     16384       4096        64.00        8940.45        9040.69          1747.96
     32768       2048        64.00        9151.83        9599.94          3417.59
     49152       1365        63.98        8996.86        9089.65          5210.44
     65536       1024        64.00        9128.93        9471.33          6850.68
     81920        819        63.98        9247.95        9669.04          8452.42
    131072        512        64.00        8895.35        9236.26         14059.19
    262144        256        64.00        8830.06        9105.87         28322.02
    524288        128        64.00        8832.64        9214.49         56678.00

Wrote pipe_throughput_same-r3.csv
