Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4         791.97         729.00
clock_gettime         16         797.05         729.00
clock_gettime         64         795.68         729.50
clock_gettime        256         791.68         750.00
clock_gettime       1024         805.26         750.00
clock_gettime       4096         883.96         812.50
clock_gettime      16384        1360.02        1291.50
clock_gettime      65536        3466.51        3333.00
clock_gettime     262144       13842.53       13271.00
clock_gettime     524288       27177.91       26208.50

Wrote pipe_latency_same-r1.csv
