Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          12.45          14.58           309.08
        16     200000         3.05          58.37          64.37           262.23
        64     200000        12.21         203.69         229.99           303.82
       256     200000        48.83         841.75         947.76           296.58
      1024      65536        64.00        3531.82        4012.49           280.01
      4096      16384        64.00        4623.63        5671.50           909.61
      8192       8192        64.00        5040.17        5465.77          1559.57
     16384       4096        64.00        4895.55        5487.12          3232.30
     32768       2048        64.00        2992.11        3251.96         10490.78
     49152       1365        63.98        3171.71        3924.91         15154.12
     65536       1024        64.00        1938.99        2146.69         32434.59
     81920        819        63.98        1834.27        1879.11         42609.55
    131072        512        64.00        1870.62        1896.59         66832.41
    262144        256        64.00        1899.54        1922.50        131615.82
    524288        128        64.00        1792.88        1933.79        280220.86

Wrote pipe_throughput_cross-r1.csv
