Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4       11646.29        4331.50
clock_gettime         16       11070.38        2499.00
clock_gettime         64       11545.50        2519.50
clock_gettime        256       11368.05        4518.50
clock_gettime       1024       11074.50        2186.50
clock_gettime       4096       11649.22        3581.50
clock_gettime      16384       13657.92        6518.00
clock_gettime      65536       16488.68        9038.00
clock_gettime     262144       67482.48       38108.00
clock_gettime     524288      133977.35      114033.00

clock           payload      mean (us)       min (us)
gettimeofday          4          12.78           4.00
gettimeofday         16          13.00           2.00
gettimeofday         64          11.46           3.00
gettimeofday        256          11.41           3.50
gettimeofday       1024          11.70           2.50
gettimeofday       4096          11.25           2.50
gettimeofday      16384          12.59           6.00
gettimeofday      65536          15.90           8.50
gettimeofday     262144          60.72          35.00
gettimeofday     524288         124.14         111.00

Wrote pipe_latency_unpinned-r3.csv
