Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          17.99          18.42           212.55
        16     200000         3.05          70.13          72.42           217.87
        64     200000        12.21         204.06         243.30           303.63
       256     200000        48.83         804.36         914.84           307.17
      1024      65536        64.00        2636.48        3128.60           387.36
      4096      16384        64.00        4298.51        4733.03           914.99
      8192       8192        64.00        3528.84        5909.25          3146.05
     16384       4096        64.00        4030.32        4501.51          3898.78
     32768       2048        64.00        3375.00        4287.15          9539.79
     49152       1365        63.98        2928.36        3517.46         16286.89
     65536       1024        64.00        2054.93        2692.24         31276.58
     81920        819        63.98        1467.68        1852.25         57007.73
    131072        512        64.00        1777.49        1921.43         70588.20
    262144        256        64.00        1773.53        1801.86        140990.64
    524288        128        64.00        1733.32        1755.63        288512.11

Wrote pipe_throughput_unpinned-r3.csv
