Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          13.87          15.31           275.83
        16     200000         3.05          65.44          75.88           238.13
        64     200000        12.21         244.79         286.87           254.14
       256     200000        48.83         930.69        1095.26           266.44
      1024      65536        64.00        3581.35        4177.47           280.24
      4096      16384        64.00        4604.82        4918.72           856.41
      8192       8192        64.00        5805.16        6165.88          1351.40
     16384       4096        64.00        4288.21        5162.10          3697.23
     32768       2048        64.00        3080.14        3727.70         10341.62
     49152       1365        63.98        3251.20        4005.75         14736.22
     65536       1024        64.00        2203.66        2593.87         28577.91
     81920        819        63.98        1931.95        1967.78         40446.53
    131072        512        64.00        1932.84        1951.82         64674.83
    262144        256        64.00        1940.25        1976.08        128861.70
    524288        128        64.00        1951.14        2002.77        256394.60

Wrote pipe_throughput_unpinned-r4.csv
