Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          17.61          18.76           220.85
        16     200000         3.05          51.22          58.98           300.93
        64     200000        12.21         215.12         267.74           289.20
       256     200000        48.83         891.57         956.85           275.92
      1024      65536        64.00        3972.56        4070.92           245.88
      4096      16384        64.00        5017.68        5094.37           778.56
      8192       8192        64.00        5650.51        6431.19          1390.89
     16384       4096        64.00        3712.21        4067.67          4221.60
     32768       2048        64.00        3912.74        5373.72          8325.82
     49152       1365        63.98        3312.18        3608.39         14249.11
     65536       1024        64.00        2174.68        2375.34         28845.60
     81920        819        63.98        2026.64        2047.71         38551.25
    131072        512        64.00        2000.24        2014.31         62495.96
    262144        256        64.00        2082.11        2224.86        120256.91
    524288        128        64.00        2064.01        2078.05        242260.18

Wrote pipe_throughput_cross-r2.csv
