Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4       11502.08        2290.50
clock_gettime         16        8389.37        2124.00
clock_gettime         64       12084.18        2353.00
clock_gettime        256       11782.86        4123.00
clock_gettime       1024       10961.94        2270.00
clock_gettime       4096       11782.16        2186.50
clock_gettime      16384       14670.20        6497.00
clock_gettime      65536       18370.45        9682.50
clock_gettime     262144       72086.45       39709.00
clock_gettime     524288      146909.78       81126.00

clock           payload      mean (us)       min (us)
gettimeofday          4          11.51           2.50
gettimeofday         16          11.15           3.00
gettimeofday         64          12.55           2.50
gettimeofday        256          12.41           2.50
gettimeofday       1024          12.24           2.50
gettimeofday       4096          11.99           2.00
gettimeofday      16384          11.03           4.50
gettimeofday      65536          22.33           9.00
gettimeofday     262144          70.50          38.50
gettimeofday     524288         152.02          77.00

Wrote pipe_latency_unpinned-r1.csv
