Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          13.39          16.19           289.10
        16     200000         3.05          67.54          77.89           230.69
        64     200000        12.21         189.25         217.43           332.84
       256     200000        48.83         771.96         852.78           318.76
      1024      65536        64.00        3057.45        3258.20           320.90
      4096      16384        64.00        4937.31        5291.89           793.60
      8192       8192        64.00        4704.01        5128.56          1670.55
     16384       4096        64.00        3994.94        4209.00          3934.47
     32768       2048        64.00        2957.47        3227.13         10633.12
     49152       1365        63.98        3153.09        3554.17         14998.16
     65536       1024        64.00        2197.70        2461.38         28631.17
     81920        819        63.98        1823.66        1903.70         42867.04
    131072        512        64.00        1709.66        1764.47         73324.30
    262144        256        64.00        1778.00        1835.15        140677.23
    524288        128        64.00        1812.71        1909.03        276354.82

Wrote pipe_throughput_unpinned-r1.csv
