Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4         780.30         708.50
clock_gettime         16         785.07         729.00
clock_gettime         64         789.68         729.00
clock_gettime        256         786.09         729.00
clock_gettime       1024         802.31         750.00
clock_gettime       4096         856.19         812.50
clock_gettime      16384        1355.97        1291.50
clock_gettime      65536        3447.37        3333.00
clock_gettime     262144       13767.61       13562.50
clock_gettime     524288       27306.85       26875.00

Wrote pipe_latency_same-r5.csv
