Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          12.73          15.30           304.51
        16     200000         3.05          56.34          64.15           274.67
        64     200000        12.21         243.86         265.32           252.34
       256     200000        48.83         927.15        1074.14           267.71
      1024      65536        64.00        3826.17        4092.02           257.00
      4096      16384        64.00        5174.38        5307.84           755.06
      8192       8192        64.00        4868.43        5476.36          1632.78
     16384       4096        64.00        4852.72        5505.45          3259.92
     32768       2048        64.00        2784.55        3266.96         11361.02
     49152       1365        63.98        2931.29        3503.21         16229.77
     65536       1024        64.00        2125.16        2364.99         29588.50
     81920        819        63.98        1937.90        1955.86         40315.88
    131072        512        64.00        1920.82        1967.77         65096.58
    262144        256        64.00        1929.43        1967.87        129599.89
    524288        128        64.00        1959.41        2000.72        255216.74

Wrote pipe_throughput_unpinned-r3.csv
