Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4       11789.73        3186.50
clock_gettime         16       10978.82        4040.00
clock_gettime         64       11392.36        4082.00
clock_gettime        256       11333.60        2165.50
clock_gettime       1024       11858.00        3519.50
clock_gettime       4096       11674.22        2374.00
clock_gettime      16384       13733.61        4498.50
clock_gettime      65536       18241.64       10870.50
clock_gettime     262144       69649.13       58790.00
clock_gettime     524288      137490.86      116913.50

clock           payload      mean (us)       min (us)
gettimeofday          4          11.43           2.00
gettimeofday         16          11.25           3.50
gettimeofday         64          11.40           2.00
gettimeofday        256          11.35           2.00
gettimeofday       1024          11.57           2.50
gettimeofday       4096          11.47           4.50
gettimeofday      16384          13.68           6.50
gettimeofday      65536          17.53          10.00
gettimeofday     262144          74.60          60.00
gettimeofday     524288         143.66         115.00

Wrote pipe_latency_unpinned-r5.csv
