Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          13.15          15.62           292.80
        16     200000         3.05          49.60          55.07           309.45
        64     200000        12.21         205.06         212.19           297.99
       256     200000        48.83         841.77        1062.13           298.71
      1024      65536        64.00        3904.66        4196.93           250.71
      4096      16384        64.00        5359.14        5737.26           734.06
      8192       8192        64.00        5592.51        6436.90          1409.08
     16384       4096        64.00        4667.87        5395.33          3371.65
     32768       2048        64.00        3319.98        4020.11          9590.13
     49152       1365        63.98        3345.75        4105.82         14436.18
     65536       1024        64.00        2931.08        3264.12         21615.02
     81920        819        63.98        2003.70        2053.59         39001.89
    131072        512        64.00        1959.98        1983.62         63783.22
    262144        256        64.00        1942.45        1949.63        128704.17
    524288        128        64.00        1940.42        1965.84        257717.27

Wrote pipe_throughput_unpinned-r5.csv
