Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4       11958.79        2124.00
clock_gettime         16       11834.32        4602.50
clock_gettime         64       12216.06        3498.50
clock_gettime        256       10541.11        2207.50
clock_gettime       1024        8454.08        3998.50
clock_gettime       4096       11411.05        2415.50
clock_gettime      16384       12897.71        5602.00
clock_gettime      65536       17239.41        9038.00
clock_gettime     262144       66294.34       36735.00
clock_gettime     524288      340501.96       73532.00

clock           payload      mean (us)       min (us)
gettimeofday          4          12.69           2.00
gettimeofday         16          12.33           2.00
gettimeofday         64          14.86           2.50
gettimeofday        256          10.33           2.00
gettimeofday       1024          11.26           3.00
gettimeofday       4096          11.57           4.50
gettimeofday      16384          28.73           6.50
gettimeofday      65536          18.91          11.00
gettimeofday     262144          69.64          57.00
gettimeofday     524288         156.97         114.50

Wrote pipe_latency_unpinned-r4.csv
