Pipe round trip latency, halved, payload sizes 4 B to 512 KiB
50 warmup exchanges per size, then the rep count shown

clock           payload      mean (ns)       min (ns)
clock_gettime          4         799.59         729.00
clock_gettime         16         796.68         729.00
clock_gettime         64         790.21         729.00
clock_gettime        256         793.29         729.00
clock_gettime       1024         803.70         750.00
clock_gettime       4096         857.26         791.50
clock_gettime      16384        1337.75        1270.50
clock_gettime      65536        3442.05        3270.50
clock_gettime     262144       14146.33       13479.50
clock_gettime     524288       27800.54       26729.50

Wrote pipe_latency_same-r2.csv
