Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          16.91          19.12           228.25
        16     200000         3.05          72.61          78.91           212.65
        64     200000        12.21         275.61         282.50           221.62
       256     200000        48.83        1044.94        1112.39           234.60
      1024      65536        64.00        4022.56        4303.97           243.92
      4096      16384        64.00        5088.48        5525.98           771.61
      8192       8192        64.00        5474.71        5864.36          1441.15
     16384       4096        64.00        3827.24        4413.05          4117.32
     32768       2048        64.00        3338.20        4042.12          9454.87
     49152       1365        63.98        2899.65        3517.07         16357.03
     65536       1024        64.00        2137.89        2412.60         29399.66
     81920        819        63.98        1941.74        2004.43         40248.33
    131072        512        64.00        1921.51        1998.56         65129.91
    262144        256        64.00        1913.15        1976.29        130812.50
    524288        128        64.00        1949.19        2014.88        256886.35

Wrote pipe_throughput_cross-r4.csv
