Pipe throughput, one way streaming, chunk sizes 4 B to 512 KiB
1 warmup run and 5 timed runs per chunk size

     chunk     writes  total (MiB)   mean (MiB/s)    max (MiB/s)    mean ns/write
         4     200000         0.76          12.82          13.49           298.30
        16     200000         3.05          57.63          65.97           267.20
        64     200000        12.21         223.75         272.37           276.61
       256     200000        48.83         865.42         989.50           284.60
      1024      65536        64.00        3221.72        3677.04           305.43
      4096      16384        64.00        4791.41        5038.01           816.76
      8192       8192        64.00        4210.65        4732.20          1896.83
     16384       4096        64.00        4430.13        4676.78          3531.95
     32768       2048        64.00        3149.16        3627.97         10052.37
     49152       1365        63.98        3480.48        4137.40         13650.48
     65536       1024        64.00        1885.71        1933.99         33164.51
     81920        819        63.98        1909.49        1931.45         40916.67
    131072        512        64.00        1901.79        1931.97         65740.61
    262144        256        64.00        1887.81        1937.87        132486.25
    524288        128        64.00        1923.75        1953.07        259931.02

Wrote pipe_throughput_cross-r2.csv
